Stock quote and option quote for AIG on 4/6/19 19:55:08

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
45.05,N,+.45,44.80,P,45.29,P,4 x 4,"4,063,949",44.70,45.30,44.66

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.84%,-4505,.32,Q,3/14/19,56.79,36.16,"869,736,490",1.08

Theo parameters
Theo date,Theo stock price,Theo volatility
4/6/19, 0.00$, 0.00%

12 APR 19  (6)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG190517C24,0,0,--,<empty>,1.000,.00,.00,.00,.00,14.41,M,21.025,14.41,29,28,100.00%,0.00%,<empty>,-0.48%,0.00%,18.95,M,23.10,X,17 MAY 19,24,0,I,.07,C,AIG190517P24,0,6,80.48%,.03206582,-.008,.002,.003,-.003,.00,.56,B,.035,.56,0,30,1.51%,98.49%,2.88%,0.68%,<empty>,,
,,AIG190517C25,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,20.025,0,20,20,100.00%,0.00%,<empty>,-0.48%,0.00%,18.05,M,22.00,M,17 MAY 19,25,0,Q,.02,Q,AIG190517P25,0,0,65.26%,.00895986,-.003,.001,.001,-.001,.00,.39,C,.010,.39,0,38,0.54%,99.46%,1.05%,0.19%,<empty>,,
,,AIG190517C26,0,0,0.00%,19.05,1.000,.00,.00,.00,.00,0, ,19.050,0,20,28,100.00%,0.00%,<empty>,0.00%,0.00%,17.25,M,20.85,X,17 MAY 19,26,0,I,.08,X,AIG190517P26,0,5,72.43%,.0368012,-.010,.002,.004,-.003,-.001,.30,C,.040,.30,0,48,1.73%,98.27%,3.32%,0.77%,<empty>,,
,,AIG190517C27,0,0,0.00%,18.05,1.000,.00,.00,.00,.00,17.10,Q,18.050,17.10,20,20,100.00%,0.00%,<empty>,0.00%,0.00%,16.00,M,20.10,M,17 MAY 19,27,0,I,.08,Z,AIG190517P27,0,475,67.97%,.03699689,-.010,.003,.004,-.003,-.001,.36,C,.040,.36,0,18,1.77%,98.23%,3.41%,0.77%,<empty>,,
,,AIG190517C28,0,0,0.00%,17.05,1.000,.00,.00,.00,.00,0, ,17.050,0,20,20,100.00%,0.00%,<empty>,0.00%,0.00%,15.00,M,19.10,M,17 MAY 19,28,0,I,.08,P,AIG190517P28,0,"1,007",63.56%,.03679078,-.011,.003,.005,-.003,-.001,.67,Z,.040,.67,0,18,1.81%,98.19%,3.48%,0.77%,<empty>,,
,,AIG190517C29,0,0,83.96%,16.06,.910,.001,.018,-.017,.005,15.40,C,16.075,15.40,28,20,91.96%,8.04%,15.13%,0.48%,0.48%,14.10,X,18.05,M,17 MAY 19,29,0,I,.08,P,AIG190517P29,0,417,59.37%,.03690102,-.012,.003,.005,-.003,-.001,.05,C,.040,.05,0,12,1.86%,98.14%,3.59%,0.77%,<empty>,,
,,AIG190517C30,0,4,85.53%,15.23,.904,.004,.021,-.020,.009,13.61,C,15.250,13.61,21,21,89.52%,10.48%,19.65%,3.86%,3.86%,13.50,M,17.00,M,17 MAY 19,30,0,Q,.02,Q,AIG190517P30,90,189,46.65%,.00943027,-.004,.002,.002,-.001,.00,.02,H,.010,.02,0,135,0.64%,99.36%,1.26%,0.19%,<empty>,,
,,AIG190517C31,0,0,70.71%,14.09,.915,.003,.018,-.014,.006,0, ,14.100,0,20,20,92.45%,7.55%,14.34%,0.97%,0.97%,12.10,M,16.10,M,17 MAY 19,31,0,I,.09,Z,AIG190517P31,0,762,52.19%,.04156748,-.015,.005,.006,-.004,-.001,.08,C,.045,.08,0,18,2.17%,97.83%,4.20%,0.87%,<empty>,,
,,AIG190517C32,0,0,65.44%,13.11,.917,.004,.019,-.013,.008,0, ,13.125,0,43,41,92.33%,7.67%,14.63%,1.45%,1.45%,12.50,X,13.75,X,17 MAY 19,32,0,P,.09,X,AIG190517P32,0,230,48.27%,.04160536,-.016,.005,.006,-.004,-.001,.08,X,.045,.08,0,36,2.26%,97.74%,4.37%,0.87%,<empty>,,
,,AIG190517C33,0,0,--,<empty>,1.000,.00,.00,.00,.00,6.35,Z,11.950,6.35,34,41,100.00%,0.00%,<empty>,-1.93%,0.00%,10.75,X,13.15,X,17 MAY 19,33,0,W,.10,X,AIG190517P33,0,403,45.18%,.04639916,-.019,.007,.007,-.004,-.001,.20,C,.050,.20,0,279,2.56%,97.44%,4.96%,0.97%,<empty>,,
,,AIG190517C34,0,1,60.65%,11.26,.907,.010,.022,-.015,.015,10.75,T,11.275,10.75,44,40,89.66%,10.34%,19.73%,4.34%,4.34%,9.95,X,12.60,X,17 MAY 19,34,0,W,.11,X,AIG190517P34,0,112,42.05%,.05127424,-.022,.008,.008,-.004,-.001,1.58,X,.055,1.58,0,270,2.89%,97.11%,5.62%,1.06%,<empty>,,
,,AIG190517C35,0,52,61.02%,10.41,.890,.014,.027,-.018,.019,8.25,P,10.425,8.25,56,39,86.72%,13.28%,25.26%,7.24%,7.24%,9.10,X,11.75,X,17 MAY 19,35,.06,Q,.09,X,AIG190517P35,1,"2,949",40.40%,.07025439,-.030,.011,.010,-.005,-.002,.06,N,.075,.06,3,37,3.84%,96.16%,7.47%,1.45%,<empty>,,
,,AIG190517C36,0,282,0.00%,9.05,1.000,.00,.00,.00,.00,4.97,I,9.050,4.97,70,66,100.00%,0.00%,<empty>,0.00%,0.00%,7.60,X,10.50,X,17 MAY 19,36,.05,Q,.13,X,AIG190517P36,25,292,37.84%,.08480924,-.037,.014,.013,-.006,-.002,.10,W,.090,.10,1,35,4.67%,95.33%,9.08%,1.74%,<empty>,,
,,AIG190517C37,0,37,40.07%,8.17,.917,.015,.021,-.009,.016,7.30,E,8.175,7.30,34,2,91.56%,8.44%,16.35%,2.41%,2.41%,6.20,X,10.15,Z,17 MAY 19,37,.06,X,.12,X,AIG190517P37,0,463,33.95%,.08474274,-.041,.017,.014,-.005,-.002,.21,M,.090,.21,34,20,4.98%,95.02%,9.71%,1.74%,<empty>,,
,,AIG190517C38,0,310,47.07%,7.48,.864,.027,.033,-.017,.025,3.46,X,7.500,3.46,56,31,83.70%,16.30%,31.26%,8.69%,8.69%,6.50,M,8.50,M,17 MAY 19,38,.09,X,.15,X,AIG190517P38,0,"2,139",32.01%,.11367218,-.055,.022,.017,-.006,-.003,.16,J,.120,.16,30,20,6.58%,93.42%,12.83%,2.32%,<empty>,,
,,AIG190517C39,0,145,37.16%,6.34,.877,.031,.030,-.012,.025,4.90,P,6.350,4.90,18,29,85.90%,14.10%,27.26%,5.79%,5.79%,6.15,C,6.55,N,17 MAY 19,39,.13,Q,.20,X,AIG190517P39,1,658,30.25%,.15731134,-.075,.030,.022,-.008,-.004,.18,I,.165,.18,29,20,8.88%,91.12%,17.31%,3.19%,<empty>,,
,,AIG190517C40,25,"2,348",33.74%,5.39,.856,.041,.034,-.013,.027,5.60,N,5.400,5.60,30,30,83.55%,16.45%,31.87%,6.76%,6.76%,5.30,X,5.50,X,17 MAY 19,40,.20,Z,.28,X,AIG190517P40,66,884,28.93%,.23051616,-.107,.041,.029,-.010,-.006,.27,M,.240,.27,29,30,12.39%,87.61%,24.12%,4.63%,<empty>,,
,,AIG190517C41,2,444,31.33%,4.49,.820,.053,.040,-.014,.029,4.65,Q,4.500,4.65,30,30,79.59%,20.41%,39.52%,8.69%,8.69%,4.40,X,4.60,X,17 MAY 19,41,.31,N,.38,X,AIG190517P41,16,"1,158",27.57%,.33338694,-.150,.055,.036,-.012,-.008,.37,C,.345,.37,22,30,17.02%,82.98%,33.10%,6.66%,<empty>,,
,,AIG190517C42,16,917,28.83%,3.61,.772,.067,.046,-.015,.030,3.83,Q,3.625,3.83,30,20,74.58%,25.42%,49.23%,11.10%,11.10%,3.55,X,3.70,X,17 MAY 19,42,.44,Z,.56,Z,AIG190517P42,0,"3,487",26.39%,.4866174,-.208,.070,.044,-.014,-.012,.62,Z,.500,.62,16,30,23.24%,76.76%,45.13%,9.65%,<empty>,,
,,AIG190517C43,17,"1,358",27.46%,2.83,.702,.081,.053,-.016,.030,3.05,Q,2.850,3.05,30,30,67.23%,32.77%,63.35%,15.44%,15.44%,2.78,X,2.92,X,17 MAY 19,43,.65,Z,.77,H,AIG190517P43,13,"1,147",25.11%,.69468815,-.281,.087,.052,-.015,-.016,.73,I,.710,.73,16,33,30.98%,69.02%,60.05%,13.71%,<empty>,,
,,AIG190517C44,116,812,26.07%,2.13,.617,.095,.059,-.017,.028,2.25,Q,2.145,2.25,30,30,58.51%,41.49%,80.05%,21.14%,21.14%,2.08,X,2.21,X,17 MAY 19,44,.94,Z,1.04,Z,AIG190517P44,9,"2,463",23.73%,.97362706,-.373,.103,.058,-.016,-.021,.95,I,.990,.95,11,14,40.35%,59.65%,78.03%,19.11%,<empty>,,
,,AIG190517C45,"1,116","8,081",24.90%,1.52,.518,.104,.061,-.017,.024,1.53,X,1.540,1.53,30,30,48.52%,51.48%,99.01%,28.76%,28.76%,1.49,X,1.59,X,17 MAY 19,45,1.33,Z,1.48,X,AIG190517P45,56,"1,169",23.02%,1.39,-.481,.112,.061,-.017,-.027,1.41,I,1.405,1.41,14,57,51.34%,48.66%,98.93%,27.12%,<empty>,,
,,AIG190517C46,86,"1,300",24.13%,1.04,.412,.104,.060,-.016,.020,1.09,C,1.060,1.09,19,33,38.05%,61.95%,78.85%,20.46%,38.80%,1.00,Q,1.12,I,17 MAY 19,46,1.83,Q,1.95,X,AIG190517P46,0,221,21.64%,1.87,-.598,.115,.060,-.015,-.034,2.60,C,1.890,2.60,17,30,62.94%,37.06%,76.59%,18.15%,<empty>,,
,,AIG190517C47,37,"2,304",23.44%,.67551131,.309,.097,.054,-.014,.015,.68,E,.690,.68,14,40,28.05%,71.95%,57.86%,13.32%,50.96%,.63,N,.75,I,17 MAY 19,47,2.46,Q,2.60,X,AIG190517P47,3,130,20.90%,2.52,-.711,.105,.052,-.013,-.041,2.60,Q,2.530,2.60,17,41,73.99%,26.01%,53.51%,11.20%,<empty>,,
,,AIG190517C48,30,866,22.89%,.41308777,.218,.083,.046,-.012,.011,.44,C,.425,.44,31,40,19.36%,80.64%,39.78%,8.20%,65.15%,.36,Z,.49,H,17 MAY 19,48,3.15,X,3.40,X,AIG190517P48,6,126,20.05%,3.27,-.813,.086,.041,-.010,-.047,3.25,C,3.275,3.25,30,50,83.57%,16.43%,33.65%,6.27%,<empty>,,
,,AIG190517C49,31,466,22.96%,.25599162,.150,.066,.036,-.009,.008,.28,B,.265,.28,20,30,12.98%,87.02%,26.61%,5.12%,81.36%,.23,H,.30,X,17 MAY 19,49,4.05,Z,4.25,I,AIG190517P49,0,16,20.38%,4.14,-.877,.063,.031,-.008,-.051,6.47,I,4.150,6.47,4,47,89.63%,10.37%,21.20%,3.86%,<empty>,,
,,AIG190517C50,0,"1,573",22.85%,.14849375,.097,.048,.027,-.007,.005,.10,M,.155,.10,11,30,8.18%,91.82%,16.73%,2.99%,98.54%,.10,P,.21,H,17 MAY 19,50,4.85,Q,5.25,C,AIG190517P50,0,154,19.64%,5.05,-.933,.041,.019,-.005,-.055,6.13,X,5.050,6.13,12,46,94.62%,5.38%,10.97%,1.93%,<empty>,,
,,AIG190517C52.5,100,967,24.61%,.05189853,.038,.022,.013,-.004,.002,.05,P,.055,.05,0,60,2.98%,97.02%,6.08%,1.06%,144.87%,0,W,.11,X,17 MAY 19,52.5,5.55,M,9.40,X,AIG190517P52.5,0,49,19.83%,7.47,-.984,.011,.005,-.001,-.060,8.81,I,7.475,8.81,30,31,98.98%,1.02%,2.07%,0.48%,<empty>,,
,,AIG190517C55,0,406,29.53%,.04223603,.027,.014,.010,-.003,.001,.09,E,.045,.09,0,31,2.02%,97.98%,4.13%,0.87%,192.94%,0,I,.09,X,17 MAY 19,55,7.90,M,12.10,M,AIG190517P55,0,0,29.51%,10.00,-.970,.014,.010,-.003,-.057,11.78,B,10.000,11.78,24,29,97.99%,2.01%,4.11%,0.97%,<empty>,,
,,AIG190517C57.5,0,63,34.19%,.0369475,.021,.010,.008,-.003,.001,.21,B,.040,.21,0,18,1.51%,98.49%,3.09%,0.77%,241.10%,0,I,.08,C,17 MAY 19,57.5,10.55,M,14.50,M,AIG190517P57.5,0,0,37.85%,12.52,-.963,.013,.012,-.005,-.051,14.75,M,12.525,14.75,20,20,97.56%,2.44%,5.01%,1.45%,<empty>,,
,,AIG190517C60,0,335,42.08%,.0605222,.027,.010,.010,-.005,.001,.03,M,.065,.03,0,41,1.86%,98.14%,3.82%,1.25%,289.84%,0,J,.13,M,17 MAY 19,60,12.85,X,17.20,M,AIG190517P60,0,0,43.56%,15.02,-.965,.011,.011,-.006,-.042,17.38,I,15.025,17.38,20,20,97.82%,2.18%,4.49%,1.45%,<empty>,,
,,AIG190517C62.5,0,12,42.93%,.03220087,.016,.006,.006,-.003,.001,.05,X,.035,.05,0,18,1.00%,99.00%,2.05%,0.68%,337.52%,0,I,.07,C,17 MAY 19,62.5,15.40,X,19.55,X,AIG190517P62.5,0,0,42.87%,17.47,-.983,.006,.006,-.003,-.025,19.95,P,17.475,19.95,20,20,99.01%,0.99%,2.04%,0.48%,<empty>,,
,,AIG190517C65,0,14,48.05%,.03667326,.016,.005,.006,-.004,.001,.12,Q,.040,.12,0,18,0.98%,99.02%,2.01%,0.77%,385.88%,0,A,.08,Z,17 MAY 19,65,17.60,M,22.20,M,AIG190517P65,0,0,--,<empty>,-1.000,.00,.00,.00,.00,10.95,I,19.900,10.95,20,20,100.00%,0.00%,0.00%,-0.97%,<empty>,,
,,AIG190517C70,0,0,76.56%,.26397093,.060,.010,.019,-.017,.003,0, ,.280,0,0,15,3.36%,96.64%,7.11%,5.40%,487.03%,0,H,.56,Q,17 MAY 19,70,22.95,M,27.05,M,AIG190517P70,0,0,60.22%,25.00,-.979,.006,.008,-.005,-.022,27.40,P,25.000,27.40,20,20,98.82%,1.18%,2.45%,0.97%,<empty>,,

24 MAY 19  (48)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG190524C37,0,0,49.57%,8.51,.868,.022,.034,-.016,.027,0, ,8.525,0,52,32,83.87%,16.13%,30.77%,7.86%,7.86%,7.95,M,9.10,M,24 MAY 19,37,.09,X,.14,D,AIG190524P37,0,0,33.09%,.10974319,-.048,.018,.017,-.006,-.003,0, ,.115,0,94,27,5.97%,94.03%,11.62%,1.90%,<empty>,,
,,AIG190524C38,0,0,46.56%,7.58,.851,.027,.037,-.017,.029,0, ,7.600,0,58,34,81.81%,18.19%,34.74%,9.10%,9.10%,7.10,M,8.10,M,24 MAY 19,38,.14,X,.19,X,AIG190524P38,0,0,31.91%,.15808438,-.067,.024,.022,-.007,-.004,0, ,.165,0,73,41,8.21%,91.79%,15.96%,2.73%,<empty>,,
,,AIG190524C39,0,0,39.54%,6.51,.849,.033,.038,-.014,.030,0, ,6.525,0,71,45,82.06%,17.94%,34.46%,7.86%,7.86%,6.15,C,6.90,C,24 MAY 19,39,.19,H,.24,X,AIG190524P39,0,0,30.02%,.20696718,-.089,.032,.027,-.008,-.006,0, ,.215,0,62,41,10.58%,89.42%,20.55%,3.56%,<empty>,,
,,AIG190524C40,0,0,32.74%,5.44,.846,.041,.039,-.012,.032,0, ,5.450,0,141,111,82.25%,17.75%,34.30%,6.62%,6.62%,5.35,C,5.55,X,24 MAY 19,40,.26,X,.31,H,AIG190524P40,0,0,28.23%,.27581033,-.118,.042,.033,-.009,-.008,0, ,.285,0,104,31,13.78%,86.22%,26.77%,4.72%,<empty>,,
,,AIG190524C41,0,0,30.86%,4.56,.807,.052,.045,-.013,.034,0, ,4.575,0,65,57,77.93%,22.07%,42.62%,8.69%,8.69%,4.50,H,4.65,X,24 MAY 19,41,.34,X,.44,X,AIG190524P41,0,0,26.69%,.37915188,-.159,.054,.040,-.011,-.010,0, ,.390,0,296,54,18.23%,81.77%,35.39%,6.45%,<empty>,,
,,AIG190524C42,0,0,29.28%,3.74,.754,.064,.052,-.015,.035,0, ,3.750,0,85,156,72.33%,27.67%,53.38%,11.58%,11.58%,3.65,C,3.85,X,24 MAY 19,42,.53,X,.72,X,AIG190524P42,0,0,27.00%,.61129425,-.228,.067,.050,-.014,-.015,0, ,.625,0,107,342,25.74%,74.26%,49.80%,10.34%,<empty>,,
,,AIG190524C43,0,0,27.00%,2.92,.693,.078,.058,-.015,.034,0, ,2.935,0,88,15,66.03%,33.97%,65.49%,14.64%,14.64%,2.87,X,3.00,H,24 MAY 19,43,.72,X,.85,C,AIG190524P43,0,0,24.59%,.77085402,-.291,.083,.057,-.014,-.019,0, ,.785,0,223,143,32.16%,67.84%,62.18%,12.99%,<empty>,,
,,AIG190524C44,1,0,26.76%,2.29,.609,.086,.064,-.016,.032,2.23,Q,2.305,2.23,55,242,57.28%,42.72%,82.08%,20.77%,20.77%,2.20,H,2.41,X,24 MAY 19,44,1.01,X,1.17,C,AIG190524P44,0,0,23.57%,1.07,-.379,.097,.063,-.015,-.025,0, ,1.090,0,304,163,41.26%,58.74%,79.58%,18.04%,<empty>,,
,,AIG190524C45,4,0,25.25%,1.66,.519,.095,.066,-.016,.028,1.77,Q,1.680,1.77,82,261,48.29%,51.71%,99.11%,26.97%,26.97%,1.60,H,1.76,C,24 MAY 19,45,1.42,X,1.57,X,AIG190524P45,0,0,22.68%,1.48,-.480,.105,.066,-.015,-.032,0, ,1.495,0,179,79,51.50%,48.50%,99.00%,24.74%,<empty>,,
,,AIG190524C46,0,0,25.26%,1.23,.425,.093,.065,-.016,.024,0, ,1.245,0,94,376,38.96%,61.04%,81.13%,20.60%,36.32%,1.12,X,1.37,X,24 MAY 19,46,1.86,C,2.28,X,AIG190524P46,0,0,22.83%,2.06,-.583,.102,.065,-.015,-.039,0, ,2.070,0,266,260,61.82%,38.18%,79.26%,18.53%,<empty>,,
,,AIG190524C47,0,0,23.21%,.76147904,.322,.093,.060,-.014,.018,0, ,.775,0,297,232,29.10%,70.90%,60.21%,12.82%,45.09%,.67,X,.88,X,24 MAY 19,47,2.45,C,2.67,X,AIG190524P47,0,0,19.87%,2.55,-.706,.103,.057,-.012,-.047,0, ,2.560,0,231,81,73.55%,26.45%,54.49%,10.09%,<empty>,,
,,AIG190524C48,0,0,23.14%,.50837829,.239,.080,.052,-.012,.014,0, ,.520,0,75,292,21.19%,78.81%,43.68%,8.60%,57.41%,.46,X,.58,X,24 MAY 19,48,3.30,X,3.40,H,AIG190524P48,0,0,20.17%,3.34,-.792,.084,.047,-.010,-.053,0, ,3.350,0,38,62,81.76%,18.24%,37.47%,6.62%,<empty>,,
,,AIG190524C49,0,0,22.56%,.30612567,.164,.066,.041,-.009,.010,0, ,.315,0,69,9,14.27%,85.73%,29.33%,5.21%,70.57%,.29,X,.34,N,24 MAY 19,49,4.10,X,4.25,X,AIG190524P49,0,0,19.56%,4.17,-.869,.064,.035,-.007,-.059,0, ,4.175,0,66,88,88.88%,11.12%,22.77%,3.72%,<empty>,,
,,AIG190524C50,0,0,22.54%,.18838641,.111,.050,.032,-.007,.007,0, ,.195,0,54,32,9.45%,90.55%,19.37%,3.23%,85.13%,.17,X,.22,H,24 MAY 19,50,4.95,C,5.15,H,AIG190524P50,0,0,18.09%,5.05,-.934,.040,.020,-.004,-.064,0, ,5.050,0,39,31,94.73%,5.27%,10.76%,1.65%,<empty>,,
,,AIG190524C51,0,0,22.44%,.11020987,.072,.036,.023,-.005,.004,0, ,.115,0,102,31,5.94%,94.06%,12.15%,1.90%,100.35%,.09,X,.14,X,24 MAY 19,51,5.50,X,6.35,X,AIG190524P51,0,0,--,<empty>,-1.000,.00,.180,.00,.00,0, ,5.925,0,60,53,100.00%,0.00%,0.00%,-0.41%,<empty>,,

21 JUN 19  (76)  100
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG190621C32,0,1,61.40%,13.46,.889,.009,.034,-.013,.027,11.15,P,13.475,11.15,21,85,85.72%,14.28%,26.68%,4.47%,4.47%,13.10,X,13.85,X,21 JUN 19,32,.07,N,.13,X,AIG190621P32,0,20,40.87%,.09681527,-.029,.008,.014,-.004,-.003,.20,Z,.100,.20,35,473,4.25%,95.75%,8.18%,1.05%,<empty>,,
,,AIG190621C33,0,0,48.63%,12.22,.909,.008,.028,-.008,.022,0, ,12.225,0,21,21,89.92%,10.08%,19.14%,1.84%,1.84%,12.10,X,12.35,X,21 JUN 19,33,0,B,1.95,X,AIG190621P33,0,0,66.90%,.95697418,-.123,.015,.042,-.018,-.014,0, ,.975,0,0,82,19.61%,80.39%,36.23%,10.27%,<empty>,,
,,AIG190621C34,0,0,46.68%,11.29,.902,.011,.031,-.009,.027,0, ,11.300,0,21,75,88.49%,11.51%,21.86%,2.63%,2.63%,11.15,X,11.45,X,21 JUN 19,34,.10,X,.13,Q,AIG190621P34,0,0,35.56%,.11159359,-.037,.011,.017,-.004,-.004,0, ,.115,0,69,12,5.11%,94.89%,9.87%,1.21%,<empty>,,
,,AIG190621C35,0,0,43.17%,10.32,.898,.014,.033,-.008,.031,0, ,10.325,0,91,67,87.86%,12.14%,23.12%,2.90%,2.90%,9.55,X,11.10,X,21 JUN 19,35,.14,H,.16,N,AIG190621P35,0,39,34.28%,.14555598,-.048,.014,.021,-.005,-.005,.37,N,.150,.37,34,25,6.46%,93.54%,12.46%,1.58%,<empty>,,
,,AIG190621C36,0,0,31.38%,9.10,.927,.009,.024,-.004,.018,0, ,9.100,0,91,11,93.00%,7.00%,13.53%,0.53%,0.53%,8.70,M,9.50,H,21 JUN 19,36,.18,D,.20,N,AIG190621P36,0,9,32.82%,.1848998,-.061,.018,.025,-.005,-.006,.46,N,.190,.46,43,34,8.01%,91.99%,15.45%,2.00%,<empty>,,
,,AIG190621C37,0,0,41.92%,8.59,.858,.023,.045,-.011,.042,0, ,8.600,0,37,49,82.13%,17.87%,33.94%,5.79%,5.79%,8.15,M,9.05,X,21 JUN 19,37,.23,D,.25,N,AIG190621P37,0,23,31.35%,.23418166,-.077,.022,.030,-.006,-.008,.28,W,.240,.28,43,23,9.91%,90.09%,19.11%,2.53%,<empty>,,
,,AIG190621C38,0,0,36.09%,7.52,.857,.027,.045,-.010,.044,0, ,7.525,0,26,32,82.56%,17.44%,33.32%,5.00%,5.00%,7.30,M,7.75,M,21 JUN 19,38,.30,H,.32,N,AIG190621P38,1,42,30.07%,.30299215,-.099,.028,.036,-.007,-.010,.31,X,.310,.31,49,42,12.41%,87.59%,23.92%,3.26%,<empty>,,
,,AIG190621C39,0,0,32.07%,6.52,.846,.033,.048,-.009,.047,0, ,6.525,0,56,21,81.52%,18.48%,35.42%,5.00%,5.00%,6.45,X,6.60,I,21 JUN 19,39,.39,D,.41,Q,AIG190621P39,0,108,28.79%,.39172036,-.126,.035,.043,-.008,-.013,.44,P,.400,.44,50,22,15.50%,84.50%,29.85%,4.21%,<empty>,,
,,AIG190621C40,0,9,30.47%,5.64,.814,.041,.054,-.010,.050,4.00,Z,5.650,4.00,46,21,77.96%,22.04%,42.22%,6.32%,6.32%,5.60,X,5.70,X,21 JUN 19,40,.51,N,.54,N,AIG190621P40,0,71,27.73%,.51597925,-.162,.042,.051,-.009,-.017,.55,M,.525,.55,20,29,19.48%,80.52%,37.48%,5.53%,<empty>,,
,,AIG190621C41,0,8,28.84%,4.79,.775,.049,.061,-.011,.052,3.70,Q,4.800,3.70,46,37,73.75%,26.25%,50.26%,7.90%,7.90%,4.75,X,4.85,X,21 JUN 19,41,.65,X,.70,N,AIG190621P41,0,59,26.50%,.66514975,-.205,.051,.059,-.010,-.021,.83,N,.675,.83,46,29,24.10%,75.90%,46.31%,7.11%,<empty>,,
,,AIG190621C42,58,82,27.45%,3.99,.726,.058,.069,-.011,.052,4.10,M,4.000,4.10,41,37,68.56%,31.44%,60.14%,10.00%,10.00%,3.95,X,4.05,I,21 JUN 19,42,.87,N,.91,N,AIG190621P42,0,54,25.63%,.87891581,-.259,.061,.067,-.011,-.027,1.08,N,.890,1.08,18,18,29.93%,70.07%,57.41%,9.37%,<empty>,,
,,AIG190621C43,2,58,26.10%,3.24,.667,.067,.075,-.012,.051,3.25,Q,3.250,3.25,44,66,62.48%,37.52%,71.65%,12.64%,12.64%,3.20,D,3.30,X,21 JUN 19,43,1.13,X,1.19,M,AIG190621P43,3,372,24.76%,1.15,-.323,.069,.075,-.012,-.034,1.12,W,1.160,1.12,36,44,36.62%,63.38%,70.08%,12.21%,<empty>,,
,,AIG190621C44,147,156,24.75%,2.54,.598,.075,.080,-.012,.048,2.65,I,2.555,2.65,81,11,55.56%,44.44%,84.71%,15.85%,15.85%,2.51,X,2.60,D,21 JUN 19,44,1.44,X,1.52,N,AIG190621P44,252,47,23.71%,1.47,-.396,.078,.080,-.012,-.041,1.48,C,1.480,1.48,41,18,44.01%,55.99%,84.01%,15.58%,<empty>,,
,,AIG190621C45,276,"6,167",23.95%,1.96,.520,.080,.082,-.012,.043,2.02,Q,1.975,2.02,28,31,47.76%,52.24%,99.26%,20.27%,20.27%,1.95,N,2.00,I,21 JUN 19,45,1.90,X,1.96,H,AIG190621P45,1,8,23.35%,1.92,-.476,.082,.082,-.013,-.050,1.94,Z,1.930,1.94,26,42,52.19%,47.81%,99.24%,20.32%,<empty>,,
,,AIG190621C46,72,220,22.99%,1.45,.436,.082,.082,-.012,.037,1.54,Q,1.460,1.54,54,20,39.66%,60.34%,83.23%,15.37%,25.38%,1.43,X,1.49,N,21 JUN 19,46,2.32,X,2.48,H,AIG190621P46,90,9,22.25%,2.39,-.562,.084,.081,-.012,-.059,2.38,I,2.400,2.38,106,24,60.55%,39.45%,82.71%,15.27%,<empty>,,
,,AIG190621C47,3,67,22.37%,1.04,.354,.080,.077,-.011,.031,1.10,H,1.055,1.10,44,28,31.70%,68.30%,66.20%,11.11%,31.64%,1.03,D,1.08,N,21 JUN 19,47,3.00,X,3.10,C,AIG190621P47,0,25,22.36%,3.04,-.641,.080,.077,-.011,-.068,3.70,Q,3.050,3.70,89,39,68.31%,31.69%,66.18%,11.58%,<empty>,,
