Stock quote and option quote for AIG on 4/6/19 19:55:08

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
45.05,N,+.45,44.80,P,45.29,P,4 x 4,"4,063,949",44.70,45.30,44.66

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.84%,-4505,.32,Q,3/14/19,56.79,36.16,"869,736,490",1.08

Theo parameters
Theo date,Theo stock price,Theo volatility
4/6/19, 0.00$, 0.00%

12 APR 19  (6)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG190412C48.5,0,0,80.19%,.78448112,.286,.064,.023,-.111,.003,0, ,.900,0,0,42,23.54%,76.46%,48.73%,104.24%,503.82%,0,J,1.80,N,12 APR 19,48.5,3.40,N,3.55,N,AIG190412P48.5,0,0,26.54%,3.47,-.968,.040,.005,-.009,-.010,0, ,3.475,0,19,18,97.88%,2.12%,4.27%,2.90%,<empty>,,
,,AIG190412C49,0,5,92.20%,.91595811,.291,.056,.023,-.129,.003,.01,C,1.050,.01,0,41,23.48%,76.52%,48.86%,121.61%,579.11%,0,J,2.10,C,12 APR 19,49,3.90,D,4.05,D,AIG190412P49,0,0,29.55%,3.97,-.971,.033,.004,-.009,-.010,0, ,3.975,0,12,11,98.11%,1.89%,3.80%,2.90%,<empty>,,
,,AIG190412C49.5,0,0,97.94%,.92005357,.281,.052,.022,-.135,.003,0, ,1.060,0,0,54,22.26%,77.74%,46.41%,122.77%,638.17%,0,J,2.12,N,12 APR 19,49.5,4.25,X,4.55,N,AIG190412P49.5,0,0,--,<empty>,-1.000,.00,.036,.00,.00,0, ,4.400,0,56,28,100.00%,0.00%,0.00%,-5.79%,<empty>,,
,,AIG190412C50,0,0,38.44%,.02375338,.035,.030,.005,-.013,.00,0, ,.035,0,0,26,2.34%,97.66%,4.73%,4.05%,577.37%,0,I,.07,M,12 APR 19,50,4.90,H,5.65,X,AIG190412P50,0,0,64.99%,5.21,-.850,.054,.016,-.064,-.009,0, ,5.275,0,11,56,88.59%,11.41%,23.35%,37.64%,<empty>,,
,,AIG190412C51,0,4,44.33%,.02345909,.031,.024,.005,-.014,.00,.02,C,.035,.02,0,32,2.00%,98.00%,4.05%,4.05%,693.19%,0,I,.07,N,12 APR 19,51,5.90,M,6.90,M,AIG190412P51,0,0,81.07%,6.32,-.835,.046,.017,-.084,-.009,0, ,6.400,0,50,116,87.75%,12.25%,25.23%,52.12%,<empty>,,

18 APR 19  (12)  100
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG190418C28,0,0,161.51%,17.05,.906,.001,.010,-.060,.002,0, ,17.100,0,30,45,92.04%,7.96%,14.94%,3.12%,3.12%,14.70,X,19.50,M,18 APR 19,28,0,J,.03,W,AIG190418P28,0,0,98.41%,.01089601,-.005,.002,.001,-.005,.00,0, ,.015,0,0,40,0.68%,99.32%,1.32%,0.94%,<empty>,,
,,AIG190418C29,0,1,--,<empty>,1.000,.00,.00,.00,.00,14.70,M,15.750,14.70,57,60,100.00%,0.00%,<empty>,-18.71%,0.00%,14.50,M,17.00,X,18 APR 19,29,0,D,.03,P,AIG190418P29,0,0,91.76%,.01092041,-.006,.002,.001,-.005,.00,0, ,.015,0,0,24,0.70%,99.30%,1.36%,0.94%,<empty>,,
,,AIG190418C30,0,0,--,<empty>,1.000,.00,.00,.00,.00,13.89,C,14.950,13.89,93,65,100.00%,0.00%,<empty>,-6.24%,0.00%,14.00,X,15.90,M,18 APR 19,30,0,C,.02,C,AIG190418P30,0,32,81.39%,.00710089,-.004,.002,.001,-.004,.00,.06,H,.010,.06,0,26,0.51%,99.49%,0.99%,0.62%,<empty>,,
,,AIG190418C31,0,0,119.38%,14.05,.917,.001,.010,-.042,.002,0, ,14.075,0,88,87,93.90%,6.10%,11.66%,1.56%,1.56%,12.55,X,15.60,M,18 APR 19,31,0,J,.03,I,AIG190418P31,0,0,79.24%,.01120354,-.006,.003,.002,-.005,.00,0, ,.015,0,0,37,0.77%,99.23%,1.50%,0.94%,<empty>,,
,,AIG190418C32,0,2,--,<empty>,1.000,.00,.00,.00,.00,10.45,P,12.900,10.45,114,26,100.00%,0.00%,<empty>,-9.35%,0.00%,12.55,M,13.25,N,18 APR 19,32,0,A,.06,X,AIG190418P32,150,135,79.84%,.02283253,-.012,.004,.003,-.008,.00,.01,Z,.030,.01,0,579,1.41%,98.59%,2.75%,1.87%,<empty>,,
,,AIG190418C33,0,0,101.77%,12.09,.920,.004,.011,-.038,.003,0, ,12.125,0,130,104,93.63%,6.37%,12.25%,4.68%,4.68%,10.70,M,13.55,M,18 APR 19,33,0,A,.07,X,AIG190418P33,0,13,75.12%,.02702803,-.014,.005,.003,-.009,.00,.15,C,.035,.15,0,211,1.68%,98.32%,3.28%,2.18%,<empty>,,
,,AIG190418C34,0,29,89.15%,11.07,.925,.004,.010,-.032,.002,9.60,P,11.100,9.60,60,70,94.38%,5.62%,10.85%,3.12%,3.12%,9.75,X,12.45,X,18 APR 19,34,0,A,.07,X,AIG190418P34,0,12,68.84%,.02733242,-.016,.006,.003,-.009,.00,.16,B,.035,.16,0,31,1.78%,98.22%,3.49%,2.18%,<empty>,,
,,AIG190418C35,0,44,77.04%,10.05,.929,.003,.010,-.026,.002,9.10,C,10.075,9.10,113,67,95.18%,4.82%,9.36%,1.56%,1.56%,9.95,X,10.20,X,18 APR 19,35,0,A,.07,X,AIG190418P35,0,272,62.59%,.02740278,-.017,.008,.004,-.009,.00,.06,C,.035,.06,0,27,1.89%,98.11%,3.70%,2.18%,<empty>,,
,,AIG190418C36,0,24,70.39%,9.08,.929,.006,.010,-.025,.003,7.95,C,9.100,7.95,57,82,94.75%,5.25%,10.22%,3.12%,3.12%,9.00,X,9.20,X,18 APR 19,36,0,A,.08,X,AIG190418P36,0,66,57.64%,.0315235,-.021,.010,.004,-.009,.00,.03,C,.040,.03,0,204,2.24%,97.76%,4.40%,2.49%,<empty>,,
,,AIG190418C37,0,0,96.22%,8.54,.864,.022,.019,-.063,.008,6.56,E,8.600,6.56,92,52,83.95%,16.05%,30.66%,34.30%,34.30%,7.20,M,10.00,X,18 APR 19,37,.01,N,.08,N,AIG190418P37,0,195,52.57%,.0359545,-.025,.013,.005,-.010,.00,.04,E,.045,.04,17,21,2.66%,97.34%,5.22%,2.81%,<empty>,,
,,AIG190418C37.5,0,0,95.25%,8.11,.852,.024,.020,-.066,.008,0, ,8.175,0,103,50,82.37%,17.63%,33.66%,38.98%,38.98%,6.85,X,9.50,X,18 APR 19,37.5,.01,N,.08,X,AIG190418P37.5,0,0,49.49%,.03597713,-.026,.014,.005,-.010,.00,0, ,.045,0,22,27,2.77%,97.23%,5.44%,2.81%,<empty>,,
,,AIG190418C38,0,0,105.33%,7.91,.817,.026,.023,-.085,.008,5.75,N,8.000,5.75,24,37,77.52%,22.48%,42.59%,59.25%,59.25%,7.00,X,9.00,X,18 APR 19,38,0,B,.08,X,AIG190418P38,0,"1,456",45.57%,.03207374,-.026,.015,.005,-.009,.00,.07,X,.040,.07,0,21,2.66%,97.34%,5.22%,2.49%,<empty>,,
,,AIG190418C38.5,0,0,56.23%,6.65,.917,.020,.013,-.025,.006,0, ,6.675,0,59,42,92.30%,7.70%,15.03%,7.80%,7.80%,4.65,X,8.70,X,18 APR 19,38.5,0,I,.07,N,AIG190418P38.5,0,0,41.61%,.02781149,-.025,.016,.005,-.008,.00,0, ,.035,0,0,21,2.50%,97.50%,4.93%,2.18%,<empty>,,
,,AIG190418C39,6,12,72.13%,6.45,.856,.032,.020,-.049,.009,6.20,W,6.500,6.20,29,72,83.90%,16.10%,31.10%,28.06%,28.06%,6.00,X,7.00,M,18 APR 19,39,0,I,.09,X,AIG190418P39,5,"1,049",40.42%,.03635496,-.031,.020,.006,-.009,-.001,.02,M,.045,.02,0,59,3.21%,96.79%,6.33%,2.81%,<empty>,,
,,AIG190418C39.5,0,0,51.97%,5.70,.901,.030,.015,-.027,.008,0, ,5.725,0,85,51,90.14%,9.86%,19.26%,10.91%,10.91%,3.75,M,7.70,X,18 APR 19,39.5,0,A,.09,X,AIG190418P39.5,0,0,37.42%,.03651365,-.034,.023,.007,-.009,-.001,0, ,.045,0,0,327,3.41%,96.59%,6.71%,2.81%,<empty>,,
,,AIG190418C40,9,120,40.61%,5.11,.925,.025,.012,-.017,.006,5.15,Q,5.125,5.15,113,25,93.46%,6.54%,12.86%,4.68%,4.68%,5.00,X,5.25,X,18 APR 19,40,0,A,.10,X,AIG190418P40,0,"1,756",35.15%,.04121453,-.039,.027,.008,-.010,-.001,.05,B,.050,.05,0,315,3.95%,96.05%,7.79%,3.12%,<empty>,,
,,AIG190418C40.5,0,0,51.24%,4.82,.862,.045,.019,-.034,.009,0, ,4.850,0,33,45,85.34%,14.66%,28.60%,18.71%,18.71%,4.55,N,5.15,N,18 APR 19,40.5,0,A,.11,X,AIG190418P40.5,0,0,32.69%,.04549492,-.045,.033,.008,-.010,-.001,0, ,.055,0,0,295,4.53%,95.47%,8.94%,3.43%,<empty>,,
,,AIG190418C41,1,290,31.22%,4.09,.930,.031,.011,-.012,.006,4.30,Q,4.100,4.30,33,35,94.13%,5.87%,11.57%,3.12%,3.12%,4.00,H,4.20,N,18 APR 19,41,0,A,.12,X,AIG190418P41,7,852,30.18%,.05038407,-.053,.040,.010,-.011,-.001,.06,M,.060,.06,0,326,5.24%,94.76%,10.34%,3.74%,<empty>,,
